Player,X1,X2,cluster
"Aaron Henry ,  2018-2019",1.256376558,-0.035637987,4
"Adam Ballinger ,  2000-2001",3.62260417,0.187442101,3
"Adam Ballinger ,  2001-2002",-0.149124008,-2.120221463,2
"Adam Ballinger ,  2002-2003",1.485880004,0.578029993,4
"Adam Wolfe ,  2001-2002",0.039816672,-0.487989331,4
"Adreian Payne ,  2011-2012",0.725737815,-1.389404103,2
"Adreian Payne ,  2012-2013",-0.864765806,-2.556419526,2
"Adreian Payne ,  2013-2014",-2.030948291,-1.628086881,2
"Alan Anderson ,  2001-2002",0.051574195,0.578061083,4
"Alan Anderson ,  2002-2003",-0.839500587,0.057054538,1
"Alan Anderson ,  2003-2004",-1.098078301,0.769710107,1
"Alan Anderson ,  2004-2005",-1.360829797,-1.015939111,2
"Aloysius Anagonye ,  2000-2001",2.099406361,-1.258742614,3
"Aloysius Anagonye ,  2001-2002",-0.182628464,-1.898007299,2
"Aloysius Anagonye ,  2002-2003",0.711568252,-2.013469183,3
"Alvin Ellis ,  2016-2017",0.790473454,1.02366905,4
"Andre Hutson ,  2000-2001",-1.198674098,-3.060055854,2
"Austin Thornton ,  2010-2011",3.112582502,1.057646916,4
"Austin Thornton ,  2011-2012",1.454509348,1.225431663,4
"Brandan Kearney ,  2012-2013",2.207790218,1.679453848,4
"Branden Dawson ,  2011-2012",0.405527786,-2.111719843,3
"Branden Dawson ,  2012-2013",-1.085105487,-2.288162348,2
"Branden Dawson ,  2013-2014",-1.140300931,-3.473340865,2
"Branden Dawson ,  2014-2015",-1.77528054,-4.076451607,2
"Brandon Wood ,  2011-2012",0.390502962,0.538876327,4
"Bryn Forbes ,  2014-2015",0.891094407,1.766986634,4
"Bryn Forbes ,  2015-2016",-0.459705343,2.238149522,4
"Cassius Winston ,  2016-2017",-0.550926137,2.110782792,1
"Cassius Winston ,  2017-2018",-2.567406635,2.126923458,1
"Cassius Winston ,  2018-2019",-4.459255364,1.932752424,1
"Charlie Bell ,  2000-2001",-2.893897342,1.16712712,1
"Chris Allen ,  2007-2008",1.609118566,1.796627089,4
"Chris Allen ,  2008-2009",0.772795767,1.668647402,4
"Chris Allen ,  2009-2010",0.399919224,1.510922307,4
"Chris Hill ,  2001-2002",-0.806237891,1.137046404,1
"Chris Hill ,  2002-2003",-2.859589331,1.791860846,1
"Chris Hill ,  2003-2004",-2.546024759,1.637866434,1
"Chris Hill ,  2004-2005",-0.934817145,1.971628724,1
"David Thomas ,  2000-2001",0.666342434,-0.731508673,3
"Delvon Roe ,  2008-2009",1.66087522,-1.748174673,3
"Delvon Roe ,  2009-2010",0.917325066,-1.715680664,3
"Delvon Roe ,  2010-2011",1.053549828,-1.577588622,3
"Denzel Valentine ,  2012-2013",0.278430959,0.136672813,4
"Denzel Valentine ,  2013-2014",-1.096915526,0.895205964,1
"Denzel Valentine ,  2014-2015",-2.91172467,1.134197302,1
"Denzel Valentine ,  2015-2016",-5.113984177,1.484144402,1
"Derrick Nix ,  2011-2012",0.690720455,-1.372441608,3
"Derrick Nix ,  2012-2013",-0.422941189,-1.311064549,2
"Deyonta Davis ,  2015-2016",1.306768851,-3.431503016,3
"Draymond Green ,  2008-2009",2.51491195,-0.471558454,3
"Draymond Green ,  2009-2010",-1.287593811,-2.186106988,2
"Draymond Green ,  2010-2011",-3.434893701,-1.009600862,2
"Draymond Green ,  2011-2012",-4.501602142,-1.574007328,2
"Drew Naymick ,  2005-2006",3.062800558,0.261325777,3
"Drew Naymick ,  2006-2007",2.123185533,-1.654171665,3
"Drew Naymick ,  2007-2008",2.456264473,-2.953283672,3
"Drew Neitzel ,  2004-2005",1.396942847,2.208599035,4
"Drew Neitzel ,  2005-2006",-0.833249639,2.548537397,1
"Drew Neitzel ,  2006-2007",-3.011975165,2.134893008,1
"Drew Neitzel ,  2007-2008",-1.766266319,2.440207856,1
"Durrell Summers ,  2007-2008",2.013442488,0.772582486,4
"Durrell Summers ,  2008-2009",0.234098971,0.678231347,4
"Durrell Summers ,  2009-2010",-0.692146659,0.038731231,4
"Durrell Summers ,  2010-2011",-0.341104847,0.932261024,4
"Erazem Lorbek ,  2002-2003",1.012868833,-0.21723949,4
"Eron Harris ,  2015-2016",0.22149599,1.583557727,4
"Eron Harris ,  2016-2017",-0.216241528,1.104065366,4
"Garrick Sherman ,  2010-2011",2.87940425,-1.407909279,3
"Gary Harris ,  2012-2013",-1.308972087,1.025674321,1
"Gary Harris ,  2013-2014",-3.049093443,0.473442451,1
"Gavin Schilling ,  2014-2015",2.37403509,-1.420181919,3
"Gavin Schilling ,  2015-2016",2.533486073,-0.264420287,3
"Goran Suton ,  2005-2006",2.570546205,-0.252671211,3
"Goran Suton ,  2006-2007",-0.939886751,-1.931328314,2
"Goran Suton ,  2007-2008",-0.941122101,-2.533954863,2
"Goran Suton ,  2008-2009",-1.503003112,-1.313638256,2
"Idong Ibok ,  2006-2007",3.376510871,-1.679425374,3
"Isaiah Dahlman ,  2006-2007",2.294095924,0.9800375,4
"Jamie Feick ,  1995-1996",-1.494117739,-1.089141247,2
"Jaren Jackson Jr. ,  2017-2018",-0.633315331,-3.406465191,2
"Jason Andreas ,  2001-2002",2.90677321,-0.372985596,3
"Jason Andreas ,  2003-2004",3.032772233,-0.259667338,3
"Jason Richardson ,  1999-2000",1.5190783,-0.27798505,4
"Jason Richardson ,  2000-2001",-2.062426256,-1.087701737,2
"Javon Bess ,  2014-2015",2.175040748,0.902751976,4
"Javon Bess ,  2015-2016",2.997308966,0.448450569,3
"Joshua Langford ,  2016-2017",1.101198282,0.725255515,4
"Joshua Langford ,  2017-2018",-0.352919714,0.975567796,4
"Joshua Langford ,  2018-2019",-2.198964867,1.073545913,1
"Kalin Lucas ,  2007-2008",-0.999499975,1.395366752,1
"Kalin Lucas ,  2008-2009",-2.302246986,1.610372349,1
"Kalin Lucas ,  2009-2010",-2.480114457,0.970206484,1
"Kalin Lucas ,  2010-2011",-2.833019245,1.2487284,1
"Keith Appling ,  2010-2011",0.63020266,0.965456531,4
"Keith Appling ,  2011-2012",-1.590573571,0.311408359,1
"Keith Appling ,  2012-2013",-2.202181898,0.322486167,1
"Keith Appling ,  2013-2014",-1.839743494,0.793910441,1
"Kelvin Torbert ,  2001-2002",0.336805197,0.813194537,4
"Kelvin Torbert ,  2002-2003",0.118784703,0.276758029,4
"Kelvin Torbert ,  2003-2004",-0.528437319,0.322266202,4
"Kelvin Torbert ,  2004-2005",0.339843057,-0.320827117,4
"Kenny Goins ,  2015-2016",3.266558373,-1.181665185,3
"Kenny Goins ,  2016-2017",2.432487985,-1.2962854,3
"Kenny Goins ,  2017-2018",2.598716711,-0.025957609,3
"Kenny Goins ,  2018-2019",-0.513020908,-1.69556124,2
"Kenny Kaminski ,  2013-2014",2.349642661,1.09098467,4
"Korie Lucious ,  2009-2010",0.148888003,2.379871142,4
"Korie Lucious ,  2010-2011",-0.315839527,2.509950003,4
"Kyle Ahrens ,  2018-2019",1.479290867,0.138148531,4
"Lourawls Nairn ,  2014-2015",2.205716243,2.367157487,4
"Lourawls Nairn ,  2015-2016",2.068585719,1.752369791,4
"Lourawls Nairn ,  2016-2017",1.378094076,1.477314159,4
"Lourawls Nairn ,  2017-2018",2.538992208,1.073051894,4
"Marcus Taylor ,  2000-2001",0.174449635,1.457202943,4
"Marcus Taylor ,  2001-2002",-3.733736218,1.801101151,1
"Marquise Gray ,  2005-2006",2.731739572,-0.690493219,3
"Marquise Gray ,  2006-2007",0.941488579,-1.900377012,3
"Marquise Gray ,  2007-2008",2.196949052,-1.14240327,3
"Marvin Clark ,  2014-2015",2.463418503,-0.293746618,3
"Mateen Cleaves ,  1996-1997",-2.20275415,1.102707084,1
"Mateen Cleaves ,  1998-1999",-3.928325603,1.876597402,1
"Mateen Cleaves ,  1999-2000",-3.666280546,2.022271679,1
"Matt Costello ,  2013-2014",2.615290942,-1.89279266,3
"Matt Costello ,  2014-2015",1.54836982,-2.54685787,3
"Matt Costello ,  2015-2016",-0.485260832,-2.97886724,2
"Matt McQuaid ,  015-2016",1.954130373,2.289394865,4
"Matt McQuaid ,  2016-2017",1.612719149,2.230946884,4
"Matt McQuaid ,  2017-2018",1.684853343,1.842793778,4
"Matt McQuaid ,  2018-2019",0.207980461,2.408193876,4
"Matt Trannon ,  2004-2005",3.024668624,-1.220397389,3
"Matt Trannon ,  2005-2006",1.529796441,-0.972186031,3
"Maurice Ager ,  2002-2003",1.576818364,1.368871782,4
"Maurice Ager ,  2003-2004",0.703883059,1.000715457,4
"Maurice Ager ,  2004-2005",-1.235062902,0.371932194,1
"Maurice Ager ,  2005-2006",-3.055712127,0.262688309,1
"Maurice Joseph ,  2006-2007",1.842048986,1.996152176,4
"Mike Chappell ,  2000-2001",2.117119098,0.536994819,4
"Mike Kebler ,  2010-2011",3.640411236,0.262390933,3
"Miles Bridges ,  2016-2017",-3.00539854,-2.220701448,2
"Miles Bridges ,  2017-2018",-2.594980766,-0.951721074,2
"Morris Peterson ,  1996-1997",1.229821671,0.106920385,4
"Morris Peterson ,  1998-1999",-1.258221909,-1.734636431,2
"Morris Peterson ,  1999-2000",-2.777433417,0.044714895,1
"Nick Ward ,  2016-2017",-0.364959242,-3.890290107,2
"Nick Ward ,  2017-2018",-1.24706977,-2.493245861,2
"Nick Ward ,  2018-2019",-2.161060907,-2.405587947,2
"Paul Davis ,  2002-2003",0.49250195,-0.630614234,4
"Paul Davis ,  2003-2004",-2.980195184,-2.046600377,2
"Paul Davis ,  2004-2005",-1.626955943,-2.570000157,2
"Paul Davis ,  2005-2006",-3.109357544,-3.288994053,2
"Raymar Morgan ,  2006-2007",-1.133325731,-1.10684518,2
"Raymar Morgan ,  2007-2008",-1.870956508,-1.896905934,2
"Raymar Morgan ,  2008-2009",-0.308311443,-1.081964826,2
"Raymar Morgan ,  2009-2010",-1.336135117,-1.707696688,2
"Shannon Brown ,  2003-2004",-0.091851409,0.763601229,4
"Shannon Brown ,  2004-2005",-0.983362621,0.318448039,1
"Shannon Brown ,  2005-2006",-3.442542136,0.372243201,1
"Tim Bograkos ,  201-2002",2.611122397,0.881001289,4
"Tim Bograkos ,  2002-2003",2.615877138,1.534930738,4
"Travis Trice ,  2011-2012",1.003954175,2.410509054,4
"Travis Trice ,  2012-2013",0.715685167,3.43662184,4
"Travis Trice ,  2013-2014",0.358359665,2.276808943,4
"Travis Trice ,  2014-2015",-2.509344857,1.916269878,1
"Travis Walton ,  2005-2006",1.362419546,1.798486486,4
"Travis Walton ,  2006-2007",-1.198937442,1.596364737,1
"Travis Walton ,  2007-2008",0.754001451,1.380529362,4
"Travis Walton ,  2008-2009",-0.534280653,1.92185224,4
"Xavier Tillman ,  2018-2019",-0.426337079,-3.379756229,2
"Zach Randolph ,  2000-2001",-0.209654721,-2.690862781,2
